,id,predicted_class_,actual_class_,words_matched
14,14,technical,technical,"['limit', 'reserv', 'readi', 'window', 'hazard', 'floor', 'membership', 'chanc', 'sprinkler', 'fact', 'prevent', 'move', 'creed', 'pregnanc', 'apart', 'plumb', 'one', 'pool', 'light', 'lock', 'affili', 'phase', 'carpentri', 'roof', 'checklist', 'owner', 'ground', 'paint', 'dress', 'stock', 'harass', 'fire', 'militari', 'complaint', 'applianc', 'hvac', 'troubleshoot', 'aptitud']"
15,15,technical,technical,"['trade', 'spend', 'advisor', 'supplier', 'circuit', 'apprenticeship', 'session', 'save', 'reput', 'piec', 'mobil', 'one', 'cut', 'theori', 'discrep', 'size', 'mechan', 'crew', 'outlook', 'spreadsheet', 'fabric']"
16,16,complex problem solving,complex problem solving,"['stay', 'help', 'complic', 'movement', 'identifi', 'practition', 'creed', 'continu', 'walk', 'one', 'bill', 'length', 'medicin', 'credenti', 'licensur', 'popul', 'rotat', 'find', 'assur', 'wheelchair', 'maintain', 'factor']"
17,17,technical,technical,"['indic', 'start', 'floor', 'establish', 'player', 'kpis', 'act', 'acumen', 'one', 'frequenc', 'lifecycl', 'solv', 'sustain', 'paint', 'beverag', 'metric', 'overtim', 'expens', 'plastic', 'pharmaceut', 'metal']"
18,18,technical,technical,"['motor', 'reserv', 'panel', 'ill', 'start', 'pump', 'valv', 'calendar', 'internet', 'establish', 'sampl', 'dispos', 'well', 'injuri', 'disast', 'prevent', 'move', 'session', 'date', 'avail', 'creed', 'violat', 'electr', 'weight', 'one', 'heat', 'valid', 'meter', 'mail', 'make', 'connect', 'wast', 'accid', 'mechan', 'load', 'read', 'score', 'cancer', 'lift', 'entiti', 'paramet', 'storag', 'overtim', 'temperatur', 'submitt', 'face', 'ship', 'acquisit', 'choic', 'mathemat', 'aptitud']"
19,19,complex problem solving,complex problem solving,"['violenc', 'convers', 'profit', 'listen', 'surfac', 'help', 'calcul', 'counti', 'guardian', 'town', 'youth', 'night', 'session', 'migrat', 'telephon', 'outreach', 'one', 'facilit', 'belief', 'good', 'offici', 'immigr', 'bank', 'liaison', 'gaug', 'outlook', 'arriv', 'enforc', 'popul', 'fax', 'justic', 'confid', 'voic']"
20,20,technical,technical,"['centuri', 'motor', 'transmiss', 'dot', 'malfunct', 'align', 'valv', 'bus', 'abus', 'suspens', 'fuel', 'brake', 'gas', 'calibr', 'steer', 'identifi', 'fleet', 'tech', 'overhaul', 'adjust', 'one', 'oil', 'make', 'mechan', 'stock', 'truck', 'obtain', 'temperatur', 'arrang', 'diagnost', 'diesel', 'branch']"
21,21,technical,technical,"['profit', 'indic', 'distanc', 'invest', 'pump', 'calcul', 'strength', 'foundat', 'player', 'altern', 'fact', 'cycl', 'revis', 'perspect', 'act', 'mentor', 'instrument', 'share', 'acumen', 'verif', 'one', 'stage', 'timelin', 'bill', 'valid', 'meter', 'subordin', 'adapt', 'potenti', 'precis', 'interfac', 'correspond', 'draw', 'prototyp', 'reliabl', 'statist', 'peer', 'urgenc', 'emphasi', 'conclus', 'overtim', 'percept', 'modif', 'fluid', 'acquisit', 'factor', 'troubleshoot']"
22,22,technical,technical,"['brake', 'heat', 'termin', 'transmiss', 'target', 'one', 'steer', 'suspens', 'fleet', 'dot', 'payrol', 'diagnost', 'increas', 'expens', 'discret', 'diesel', 'fuel', 'truck', 'machineri']"
23,23,technical,technical,"['strength', 'warn', 'stair', 'section', 'player', 'logic', 'cycl', 'gas', 'recoveri', 'boiler', 'climb', 'restrict', 'hat', 'one', 'oil', 'ladder', 'target', 'affili', 'housekeep', 'mask', 'interfac', 'mechan', 'paper', 'truck', 'overtim', 'fabric', 'rout', 'ship', 'sign', 'protect', 'aptitud']"
24,24,technical,technical,"['transmiss', 'indic', 'readi', 'surfac', 'requisit', 'inquiri', 'malfunct', 'replac', 'airfram', 'start', 'cell', 'aircraft', 'manual', 'display', 'fuel', 'workload', 'camp', 'assembl', 'brake', 'preserv', 'move', 'station', 'wrench', 'exercis', 'sheet', 'cabl', 'proof', 'aviat', 'flight', 'dexter', 'one', 'blueprint', 'heat', 'ladder', 'log', 'complex', 'avion', 'housekeep', 'gear', 'mechan', 'liaison', 'paint', 'land', 'fire', 'storag', 'open', 'overtim', 'diagnosi', 'modif', 'maintain', 'metal', 'wing', 'troubleshoot', 'card']"
25,25,technical,technical,"['enjoy', 'electron', 'stabil', 'stoop', 'spend', 'replac', 'strength', 'mine', 'aircraft', 'manual', 'classroom', 'digniti', 'abus', 'ownership', 'assembl', 'substanc', 'tractor', 'prescript', 'tank', 'one', 'light', 'aerospac', 'desir', 'affili', 'factori', 'mechan', 'ground', 'crane', 'truck', 'tree', 'harass', 'path', 'overtim', 'sign', 'sell']"
26,26,complex problem solving,complex problem solving,"['profit', 'judg', 'help', 'stoop', 'hear', 'diseas', 'dust', 'proceed', 'strength', 'cell', 'counti', 'home', 'agent', 'night', 'substanc', 'referr', 'act', 'fume', 'sheet', 'restrict', 'proof', 'child', 'observ', 'staf', 'one', 'behalf', 'court', 'caregiv', 'log', 'potenti', 'anim', 'visit', 'circumst', 'compli', 'involv', 'lift', 'popul', 'path', 'justic', 'temperatur', 'arrang', 'face', 'maintain', 'parent', 'adopt']"
27,27,technical,technical,"['motor', 'limit', 'strength', 'logist', 'alcohol', 'volum', 'establish', 'foundat', 'injuri', 'altern', 'union', 'error', 'station', 'tractor', 'root', 'physic', 'weather', 'match', 'dexter', 'one', 'cut', 'target', 'wast', 'incid', 'visit', 'k', 'ticket', 'stock', 'incent', 'finger', 'complaint', 'overtim', 'rout', 'maintain', 'atmospher']"
28,28,complex problem solving,technical,"['minut', 'motor', 'eye', 'chain', 'calcul', 'supplier', 'buyer', 'digniti', 'navig', 'speech', 'cycl', 'research', 'game', 'answer', 'd', 'procur', 'one', 'setup', 'reduct', 'r', 'women', 'introduct', 'voic']"
29,29,complex problem solving,technical,"['intervent', 'mind', 'chain', 'listen', 'diagnos', 'hazard', 'address', 'consist', 'hospic', 'recognit', 'mile', 'counti', 'advocaci', 'digniti', 'literatur', 'deleg', 'comfort', 'discharg', 'revis', 'movement', 'theme', 'mentor', 'identifi', 'practition', 'share', 'achiev', 'gap', 'barrier', 'continuum', 'faith', 'philosophi', 'tradit', 'staf', 'stage', 'belief', 'style', 'one', 'bill', 'complex', 'make', 'pain', 'bed', 'compass', 'region', 'protocol', 'privaci', 'trust', 'compli', 'command', 'absenc', 'reward', 'peer', 'awar', 'termin', 'identif', 'ethic', 'genet', 'popul', 'open', 'justic', 'nclex', 'find', 'diem', 'capit', 'encount', 'right']"
30,30,technical,technical,"['motor', 'reserv', 'inspector', 'panel', 'ill', 'subcontractor', 'start', 'even', 'counti', 'brief', 'injuri', 'night', 'pipelin', 'gas', 'conduit', 'permit', 'station', 'height', 'box', 'cabl', 'observ', 'telephon', 'verif', 'layout', 'one', 'damag', 'oil', 'length', 'traffic', 'wast', 'incid', 'region', 'draw', 'constraint', 'cloud', 'ticket', 'crew', 'fax', 'news', 'assur']"
31,31,technical,technical,"['pipelin', 'edg', 'optim', 'behalf', 'deploy', 'research', 'enterpris', 'target', 'identif', 'requisit', 'pilot', 'subject', 'discoveri', 'strength', 'logist', 'analyt', 'chemistri', 'one']"
32,32,technical,technical,"['chain', 'influenc', 'classif', 'fuel', 'mitig', 'marketplac', 'mentor', 'box', 'save', 'd', 'procur', 'one', 'key', 'stage', 'timelin', 'good', 'wast', 'interfac', 'r', 'mindset', 'popul', 'emphasi', 'capit']"
33,33,technical,technical,"['dot', 'stoop', 'hear', 'storm', 'amount', 'counti', 'manual', 'classif', 'survey', 'permit', 'act', 'map', 'motion', 'stand', 'one', 'stage', 'liaison', 'quantiti', 'identif', 'land', 'finger', 'complaint', 'estim']"
34,34,technical,technical,"['interpret', 'clean', 'hear', 'biochemistri', 'suggest', 'accomplish', 'sampl', 'suspens', 'speech', 'act', 'fume', 'calibr', 'instrument', 'discret', 'chemistri', 'telephon', 'mobil', 'one', 'timelin', 'discrep', 'correspond', 'peer', 'conclus', 'find', 'assur', 'maintain']"
35,35,technical,technical,"['submiss', 'apprenticeship', 'fleet', 'climb', 'schemat', 'electrician', 'territori', 'verif', 'one', 'blueprint', 'timelin', 'potenti', 'roof', 'twist', 'wire', 'appear', 'storag', 'assur', 'protect', 'diagram', 'independ', 'troubleshoot', 'workflow', 'crawl']"
36,36,technical,complex problem solving,"['enjoy', 'door', 'profit', 'inspector', 'suggest', 'logist', 'defens', 'volum', 'carrier', 'dispos', 'trip', 'head', 'presid', 'achiev', 'export', 'stress', 'one', 'financ', 'creativ', 'negoti', 'iso', 'aerospac', 'reason', 'vice', 'stock', 'metric', 'auditor', 'expenditur', 'genet', 'lot', 'assur', 'ship', 'warehous', 'workflow']"
37,37,technical,technical,"['electron', 'defens', 'logic', 'circuit', 'assembl', 'schemat', 'cabl', 'dexter', 'layout', 'one', 'print', 'aerospac', 'connect', 'setup', 'ground', 'draw', 'prototyp', 'wire', 'powerpoint', 'fabric', 'modif', 'framework', 'diagram', 'troubleshoot']"
38,38,technical,technical,"['round', 'airfram', 'mile', 'aircraft', 'instructor', 'airlin', 'weather', 'pilot', 'tier', 'aviat', 'flight', 'mobil', 'walk', 'one', 'discuss', 'hub', 'discount', 'k', 'size', 'park', 'lifestyl', 'path', 'sign', 'accredit', 'choic']"
39,39,technical,technical,"['edit', 'upgrad', 'masteri', 'even', 'advisor', 'comfort', 'revis', 'captur', 'session', 'avail', 'creed', 'learner', 'game', 'web', 'simul', 'one', 'curriculum', 'ticket', 'updat', 'awar', 'outlook', 'harass', 'enhanc', 'aptitud']"
40,40,technical,complex problem solving,"['inquiri', 'amplifi', 'corpor', 'attribut', 'laser', 'optic', 'instrument', 'methodolog', 'physic', 'chemistri', 'simul', 'one', 'detect', 'frequenc', 'prototyp', 'asl', 'sensor', 'emphasi', 'open', 'temperatur', 'imag', 'diagnost', 'fabric', 'deposit', 'aptitud']"
41,41,technical,technical,"['mind', 'cash', 'paperwork', 'cooper', 'address', 'alcohol', 'sanit', 'referr', 'session', 'tabl', 'weight', 'staf', 'one', 'bill', 'guest', 'restaur', 'log', 'connect', 'visit', 'cleanli', 'appear', 'awar', 'expenditur', 'identif', 'peer', 'incent', 'emphasi', 'complaint', 'rout', 'capit']"
42,42,technical,technical,"['profil', 'surfac', 'distanc', 'amount', 'dust', 'align', 'flow', 'slope', 'survey', 'fuel', 'well', 'deleg', 'substanc', 'bridg', 'movement', 'weather', 'stand', 'machineri', 'one', 'cut', 'oil', 'light', 'acuiti', 'ground', 'crane', 'crew', 'remov', 'quantiti', 'vet', 'emphasi', 'diesel', 'encount']"
43,43,technical,technical,"['fighter', 'stabil', 'flow', 'defens', 'perspect', 'airlin', 'map', 'pilot', 'aviat', 'format', 'one', 'key', 'timelin', 'armi', 'messag', 'connect', 'interfac', 'analyt', 'analyst', 'protocol', 'constraint', 'api', 'entiti', 'diagram']"
44,44,technical,technical,"['diseas', 'suggest', 'internet', 'cell', 'autom', 'assembl', 'revis', 'mentor', 'root', 'save', 'workforc', 'reagent', 'one', 'valid', 'iso', 'suitabl', 'incid', 'protocol', 'speed', 'statist', 'diagnost', 'acquisit']"
45,45,technical,technical,"['book', 'limit', 'p', 'address', 'flow', 'calendar', 'even', 'counti', 'establish', 'notif', 'internet', 'accomplish', 'classif', 'night', 'chanc', 'mitig', 'intern', 'date', 'share', 'workforc', 'answer', 'adjust', 'philosophi', 'verif', 'walk', 'staf', 'one', 'theori', 'offici', 'light', 'court', 'evid', 'mail', 'medicin', 'affili', 'analyst', 'correspond', 'absenc', 'score', 'definit', 'quantiti', 'licensur', 'popul', 'fax', 'm', 'rehabilit', 'accredit', 'factor', 'fellow', 'librari']"
46,46,technical,technical,"['featur', 'releas', 'session', 'deploy', 'methodolog', 'architectur', 'lifecycl', 'aw', 'precis', 'interfac', 'app', 'one']"
47,47,technical,technical,"['return', 'limit', 'inspector', 'hear', 'clerk', 'calcul', 'floor', 'bear', 'assembl', 'revis', 'referr', 'height', 'box', 'methodolog', 'motion', 'disposit', 'stand', 'machineri', 'stage', 'one', 'oil', 'good', 'print', 'math', 'ladder', 'aerospac', 'setup', 'precis', 'size', 'label', 'outlook', 'award', 'determin', 'reliabl', 'metal', 'troubleshoot', 'aptitud', 'card']"
48,48,technical,technical,"['feet', 'listen', 'danger', 'clean', 'calcul', 'strength', 'cell', 'recognit', 'sensit', 'sampl', 'dispos', 'logic', 'speech', 'substanc', 'mathemat', 'calibr', 'card', 'instrument', 'blood', 'piec', 'answer', 'chemistri', 'scientist', 'adjust', 'observ', 'robot', 'one', 'anim', 'log', 'biolog', 'make', 'tissu', 'solv', 'major', 'thing', 'statist', 'identif', 'licensur', 'conclus', 'find', 'sign', 'maintain', 'troubleshoot', 'transform', 'pattern']"
49,49,technical,technical,"['profil', 'reserv', 'charter', 'clean', 'depend', 'verifi', 'calcul', 'passeng', 'aircraft', 'internet', 'night', 'fact', 'assembl', 'comfort', 'intern', 'fulfil', 'game', 'flight', 'one', 'creativ', 'style', 'good', 'math', 'jet', 'guest', 'attir', 'entertain', 'carri', 'uniform', 'ground', 'dress', 'beverag', 'stock', 'crew', 'ethic', 'arrang', 'meal', 'sign', 'atmospher']"
50,50,technical,technical,"['auditor', 'featur', 'outlook', 'powerpoint', 'deploy', 'iso', 'edit', 'restaur', 'finger', 'one', 'verifi', 'spend', 'pump', 'tabl', 'discount', 'maintain', 'privaci', 'walk', 'ticket', 'updat']"
51,51,technical,technical,"['mind', 'autocad', 'calcul', 'suggest', 'motiv', 'ownership', 'mentor', 'seri', 'architect', 'scientist', 'adjust', 'observ', 'telephon', 'one', 'offici', 'mileston', 'target', 'architectur', 'solv', 'phase', 'correspond', 'owner', 'draw', 'involv', 'path', 'award']"
52,52,technical,technical,"['intervent', 'motor', 'awar', 'iep', 'one', 'popul', 'achiev', 'curriculum', 'demonstr', 'lesson', 'parent', 'classroom', 'subject', 'agent', 'crisi', 'transform', 'teacher']"
53,53,technical,technical,"['pipelin', 'output', 'volum', 'percept', 'analyt', 'cell', 'societi', 'analys', 'one']"
54,54,technical,technical,"['headquart', 'mind', 'electron', 'asml', 'finger', 'semiconductor', 'export', 'temperatur', 'topic', 'introduct', 'pilot', 'size', 'percept', 'modif', 'twist', 'volum', 'player', 'walk', 'one']"
55,55,technical,technical,"['gas', 'behalf', 'one', 'p', 'licensur', 'pride', 'creed', 'm', 'transact', 'half', 'voltag', 'strength', 'sector', 'choic', 'stand', 'circuit', 'transform', 'right']"
56,56,technical,technical,"['paperwork', 'fashion', 'replac', 'adult', 'guardian', 'speech', 'referr', 'counselor', 'version', 'inclus', 'proof', 'child', 'teacher', 'one', 'math', 'iep', 'print', 'liaison', 'music', 'psychologist', 'close', 'open', 'modif', 'parent']"
57,57,technical,technical,"['motor', 'eye', 'feet', 'surfac', 'advantag', 'dust', 'logist', 'manual', 'apprenticeship', 'output', 'fume', 'fleet', 'pregnanc', 'conveyor', 'teammat', 'motion', 'stand', 'robot', 'dexter', 'one', 'belief', 'blueprint', 'voltag', 'housekeep', 'twist', 'read', 'command', 'metric', 'path', 'temperatur', 'rotat', 'fabric', 'warehous', 'metal', 'troubleshoot']"
58,58,technical,technical,"['return', 'ownership', 'merchandis', 'deviat', 'powerpoint', 'urgenc', 'sampl', 'log', 'sheet', 'reason', 'learner', 'discount', 'interfac', 'factori', 'receipt', 'draft', 'protocol', 'label', 'one']"
59,59,technical,technical,"['branch', 'transmiss', 'reserv', 'readi', 'trade', 'combat', 'aircraft', 'questionnair', 'sensit', 'membership', 'night', 'fuel', 'assembl', 'session', 'exercis', 'weather', 'workforc', 'seri', 'overhaul', 'proof', 'guard', 'adjust', 'flight', 'mobil', 'format', 'one', 'damag', 'armi', 'offici', 'suitabl', 'affair', 'phase', 'mechan', 'uniform', 'constraint', 'compli', 'command', 'termin', 'identif', 'militari', 'fire', 'counter', 'award', 'troubleshoot', 'wear', 'link', 'modif', 'ship', 'accredit', 'factor', 'deposit', 'workflow']"
60,60,technical,technical,"['stack', 'stabil', 'deliver', 'equiti', 'player', 'well', 'laser', 'ownership', 'threat', 'perspect', 'attack', 'proof', 'web', 'intellig', 'one', 'algorithm', 'detect', 'architectur', 'desir', 'cloud', 'prototyp', 'api', 'peer', 'storag', 'lot', 'award', 'arrang', 'backend', 'starter', 'adopt', 'librari']"
61,61,technical,technical,"['gas', 'intellig', 'thinker', 'one', 'tech', 'mindset', 'sensor', 'patent', 'maker', 'thought', 'start', 'sponsorship', 'fabric', 'prototyp', 'load', 'forefront', 'robot', 'pto']"
62,62,technical,technical,"['profit', 'edit', 'deploy', 'administ', 'distanc', 'flow', 'logic', 'disast', 'server', 'recoveri', 'virtual', 'script', 'sql', 'side', 'workforc', 'web', 'adjust', 'configur', 'one', 'complex', 'architectur', 'demonstr', 'topic', 'interfac', 'doctor', 'liaison', 'cloud', 'vet', 'popul', 'rehabilit', 'grant', 'workflow', 'librari']"
63,63,technical,technical,"['optim', 'eye', 'landscap', 'indic', 'diseas', 'flow', 'discoveri', 'cell', 'mine', 'character', 'pipelin', 'headquart', 'methodolog', 'scientist', 'one', 'stage', 'target', 'potenti', 'biolog', 'medicin', 'demonstr', 'protein', 'assay', 'trial', 'therapi']"
64,64,technical,technical,"['cash', 'depend', 'flow', 'autom', 'cycl', 'creation', 'philosophi', 'configur', 'bid', 'one', 'bill', 'valid', 'protocol', 'identif', 'obstacl', 'portfolio', 'vet', 'estim', 'protect', 'commiss', 'reliabl']"
65,65,complex problem solving,technical,"['reserv', 'listen', 'ill', 'readi', 'alarm', 'alcohol', 'agent', 'brief', 'crisi', 'well', 'union', 'ownership', 'gas', 'discharg', 'act', 'airport', 'save', 'exercis', 'gap', 'polic', 'inclus', 'telephon', 'stress', 'stand', 'aptitud', 'one', 'oil', 'length', 'bank', 'discount', 'demonstr', 'k', 'incid', 'factori', 'accid', 'doctor', 'protocol', 'updat', 'peer', 'militari', 'justic', 'temperatur', 'introduct', 'link', 'perk', 'assur', 'warehous', 'premium', 'except']"
66,66,technical,technical,"['minut', 'motor', 'invest', 'hazard', 'depend', 'pump', 'valv', 'flow', 'priorit', 'cell', 'sensit', 'sampl', 'permit', 'move', 'fume', 'identifi', 'blood', 'weather', 'workforc', 'dexter', 'one', 'heat', 'oil', 'expans', 'visitor', 'mileag', 'reason', 'topic', 'phase', 'acuiti', 'interfac', 'trust', 'remov', 'ethic', 'harass', 'finger', 'open', 'overtim', 'imag', 'starter', 'rotat', 'expens', 'rout', 'metal', 'wastewat', 'crawl']"
67,67,technical,technical,"['appear', 'oil', 'fee', 'meter', 'tank', 'payment', 'boiler', 'temperatur', 'foundat', 'malfunct', 'voltag', 'valv', 'trust', 'gaug', 'bear', 'adjust', 'load', 'fuel', 'one']"
68,68,technical,technical,"['feet', 'scrub', 'indic', 'dot', 'help', 'clean', 'distanc', 'receipt', 'stair', 'ppe', 'fuel', 'trip', 'wrench', 'height', 'tire', 'climb', 'map', 'weather', 'conveyor', 'weight', 'stand', 'one', 'oil', 'ladder', 'potenti', 'wast', 'phase', 'ground', 'batch', 'paint', 'load', 'ticket', 'storag', 'temperatur', 'sign', 'framework', 'diesel']"
69,69,technical,technical,"['cash', 'deploy', 'flow', 'transpar', 'autom', 'discharg', 'substitut', 'map', 'creed', 'pregnanc', 'procur', 'econom', 'mobil', 'robot', 'one', 'financ', 'dollar', 'potenti', 'complex', 'architectur', 'setup', 'k', 'factori', 'path', 'arrang', 'assur', 'protect', 'analys', 'workflow']"
70,70,technical,technical,"['return', 'featur', 'door', 'optim', 'interpret', 'deploy', 'invest', 'align', 'suggest', 'server', 'autom', 'conduit', 'identifi', 'share', 'save', 'stori', 'barrier', 'text', 'proof', 'intellig', 'represent', 'acumen', 'variabl', 'outreach', 'econom', 'stage', 'algorithm', 'style', 'one', 'messag', 'valid', 'audienc', 'interfac', 'analyt', 'updat', 'metric', 'statist', 'identif', 'tune', 'paramet', 'obstacl', 'ethic', 'formul', 'framework', 'modif', 'adapt', 'enhanc', 'auto', 'mathemat', 'phd']"
71,71,technical,technical,"['electron', 'surfac', 'distanc', 'revenu', 'manual', 'server', 'assembl', 'releas', 'calibr', 'cabl', 'benchmark', 'verif', 'layout', 'one', 'bill', 'valid', 'iso', 'coursework', 'light', 'connect', 'setup', 'k', 'visit', 'draw', 'label', 'wire', 'conform', 'women', 'award', 'percept', 'diagram', 'troubleshoot']"
72,72,technical,technical,"['minut', 'distanc', 'clean', 'invoic', 'apprais', 'recognit', 'pallet', 'volum', 'accomplish', 'display', 'sanit', 'motiv', 'substanc', 'date', 'wage', 'achiev', 'motion', 'one', 'accid', 'loss', 'appear', 'awar', 'count', 'merchandis', 'advertis', 'emphasi', 'temperatur', 'expens', 'atmospher', 'accredit']"
73,73,technical,technical,"['trade', 'wareh', 'chanc', 'mitig', 'physic', 'sql', 'migrat', 'architect', 'intellig', 'one', 'math', 'discuss', 'desir', 'aw', 'analyt', 'visit', 'batch', 'cloud', 'tune', 'enterpris', 'path', 'adopt', 'face', 'warehous', 'mathemat', 'phd']"
74,74,technical,technical,"['deliver', 'diseas', 'fashion', 'classroom', 'carrier', 'instructor', 'classif', 'conjunct', 'fulfil', 'workforc', 'telephon', 'one', 'outpati', 'style', 'bill', 'theori', 'mileston', 'architectur', 'curriculum', 'major', 'visit', 'ehr', 'cancer', 'peer', 'enterpris', 'women', 'path', 'profess', 'atmospher']"
75,75,technical,technical,"['feet', 'diseas', 'depend', 'clerk', 'calcul', 'adult', 'sensit', 'princip', 'speech', 'discharg', 'head', 'achiev', 'conflict', 'philosophi', 'observ', 'telephon', 'stress', 'dexter', 'one', 'visitor', 'solv', 'infect', 'phase', 'mechan', 'heart', 'licensur', 'popul', 'therapi', 'maintain', 'profess', 'infant']"
